2021-06-15 20:00:00 | /errorHandler.js(30) | DKqEGFxr8xAbShEX2CxqbFVKl0VuqHvY | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | w8xh2NvX9J9NF906uIpaQNkPWi9SBdz0 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-10","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | OjYUPgYMPfa5AFFHWXQWaAGWmhgsXk3x | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | OjYUPgYMPfa5AFFHWXQWaAGWmhgsXk3x | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | OjYUPgYMPfa5AFFHWXQWaAGWmhgsXk3x | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-06","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:01 | /errorHandler.js(30) | VAL2LAdupoE0HvXNDecAKj8zpLkFBV5Q | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:02 | /errorHandler.js(30) | 2oDHcxzwbvOED7denD31hsVaLEqe5ZAp | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:03 | /errorHandler.js(30) | Ou8EDixiJR9DgNFfArzf80IuwvZRArvh | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:03 | /errorHandler.js(30) | 2w4tx2EzJlYCCRNnNZdjnGzNQDJPl095 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:04 | /errorHandler.js(30) | pcehO6tPwBYyyP9F7xmQc4d5mVgng9ST | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:04 | /errorHandler.js(30) | 1Asvgx3hLPeqwWXOqPV22a9MzJvOGcug | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:05 | /errorHandler.js(30) | vgA4fYOa2lmDe5dCCnHJuEpIe6c5p7aa | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:05 | /errorHandler.js(30) | kUw63tmd8KFWQLu3ZzzUcRZdMk4qSsav | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:06 | /errorHandler.js(30) | IodJUX402yMfEo9omug84EV8Qqm9TWJV | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:06 | /errorHandler.js(30) | IodJUX402yMfEo9omug84EV8Qqm9TWJV | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:08 | /errorHandler.js(30) | J8dRLpCBdtS6m0j2y1ol5BQbB9874INN | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-28","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:08 | /errorHandler.js(30) | Ld8bmStIWu2zxR5ZtrviL94TOJRIBgam | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getCancelledBookings?page=1&size=10&appointmentDateStart=2021-07-01&appointmentDateEnd=2021-07-01&clinicId=609be7f8f132c1001fb007c4 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-07-01","appointmentDateEnd":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:09 | /errorHandler.js(30) | SFYIqC7MyGCJz3XAIxbuLtPRThmOsswO | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:09 | /errorHandler.js(30) | cedDBFhkWqu2stTCths3PvFbbs8syeDZ | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-14","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:09 | /errorHandler.js(30) | tHRsp48obNuyYCFBVZNmld8578Mnj5Dw | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-29","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:10 | /errorHandler.js(30) | YUB9wqVedy3mCGOu49KEC5cdLL17bCWI | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:10 | /errorHandler.js(30) | 12qALfKk22dlEcZv7Q5B174ZPeEzULou | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:10 | /errorHandler.js(30) | jUmpfHJ4XHAdY37oaDBmWfzlrJcAn1U2 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-11","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | CTgbINMZIfIHTvZeJwaPO9hOevwcoSzv | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | SpVULvKesFHYi3Zl8JjKW2ZoUUCvwFL0 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-12","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:11 | /errorHandler.js(30) | SpVULvKesFHYi3Zl8JjKW2ZoUUCvwFL0 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:12 | /errorHandler.js(30) | cKJUTgmwBil0ePmNdnKuwrD6V4cI5uqB | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:12 | /errorHandler.js(30) | cKJUTgmwBil0ePmNdnKuwrD6V4cI5uqB | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:12 | /errorHandler.js(30) | Gong0X5FEEzfmpSAk0KnLPiMMqZ1jTm3 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:13 | /errorHandler.js(30) | aT2Q1sAPAWmk5exXY2Skso0eP1slycRq | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:13 | /errorHandler.js(30) | qgLdu3jUta4Vq8F1xC78ahOVhqswgBk1 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getPatientAnswer/60bbced719f5cb002090a9e5 | GET | Request : {}
2021-06-15 20:00:14 | /errorHandler.js(30) | qgLdu3jUta4Vq8F1xC78ahOVhqswgBk1 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-13","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:15 | /errorHandler.js(30) | rmThL4zsBmuFymT79HExVVRLF1i0KBc7 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:15 | /errorHandler.js(30) | rmThL4zsBmuFymT79HExVVRLF1i0KBc7 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:15 | /errorHandler.js(30) | 0k7Nj2l96FIdR7AdpHH1qq6DFMsEoLzQ | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.89:2001/health | GET | Request : {}
2021-06-15 20:00:15 | /errorHandler.js(30) | 4UmJImu3ZzyePbzRPM0hMHb6SOXW2PBf | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:16 | /errorHandler.js(30) | K1ihla7cJoMEYwRKXq2HHEY61DZNsRsR | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:16 | /errorHandler.js(30) | lXvXeao3lsk3Ozc5vHknoOsz6xBnUlQW | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.89:2001/health | GET | Request : {}
2021-06-15 20:00:16 | /errorHandler.js(30) | 2o1okCao05FuplwWnNthGm1k9B8PFEEN | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-07","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:17 | /errorHandler.js(30) | IM2VJmzAs4TML1uDjrLZLbQndkPcujTZ | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings?page=1&size=10&appointmentDateStart=2021-06-21&appointmentDateEnd=2021-06-21&search=khanna | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-21","appointmentDateEnd":"2021-06-21","search":"khanna","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-15 20:00:17 | /errorHandler.js(30) | IM2VJmzAs4TML1uDjrLZLbQndkPcujTZ | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings?page=1&size=10&appointmentDateStart=2021-07-01&appointmentDateEnd=2021-07-01&clinicId=609be7f8f132c1001fb007c4 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-07-01","appointmentDateEnd":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:17 | /errorHandler.js(30) | IM2VJmzAs4TML1uDjrLZLbQndkPcujTZ | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
